Year,LGA,Subgroup,Count
2018,Melton,B321 Residential non-aggravated burglary,14
2018,Melton,B322 Non-residential non-aggravated burglary,5
2018,Nillumbik,B321 Residential non-aggravated burglary,3
2018,Nillumbik,B322 Non-residential non-aggravated burglary,1
2018,Whittlesea,B321 Residential non-aggravated burglary,2
2018,Wyndham,B321 Residential non-aggravated burglary,6
2018,Wyndham,B322 Non-residential non-aggravated burglary,3
2018,Yarra,B322 Non-residential non-aggravated burglary,2
2018,Alpine,B322 Non-residential non-aggravated burglary,1
2018,Bass Coast,B321 Residential non-aggravated burglary,5
2018,Bass Coast,B322 Non-residential non-aggravated burglary,1
2018,Baw Baw,B311 Residential aggravated burglary,1
2018,Baw Baw,B321 Residential non-aggravated burglary,17
